PDF Path,Text,cleaned_Text
27.pdf,"""The evidence adduced for allegation 1 shows that UNEP Staff Member 2, and UNEP/PCAU Consultant did not at any time have a financial relationship with the former company. However, the BTF had a series of contracts and extensions of those contracts with the former company and UNEP Staff Member 1 was a shareholder and senior officer of the former company and, as a sub-contractor of the former company, worked for the BTF. During the time UNEP Staff Member 1 held a consultancy contract with UNEP, the former company had no contractual relationship with UNEP. Although this created the appearance of a conflict of interest, none was established.""",evidence adduce allegation 1 show unep staff member 2 unep pcau consultant time financial relationship company btf series contract extension contract company unep staff member 1 shareholder senior officer company subcontractor company work btf time unep staff member 1 hold consultancy contract unep company contractual relationship unep create appearance conflict interest establish
27.pdf,"""During the course of the investigation, ID/OIOS learned that the former company received contracts and extensions of contracts with BTF through UNOPS without competitive bidding, in violation of Financial Regulation 1.2 which states that ""Procurement functions include all actions necessary for the acquisition, by purchase or lease, of property, including products and real property, and of services, including works. The following general principles shall be given due consideration when exercising the procurement functions of the United Nations: (a) Best value for money; (6) fairness, integrity and transparency; (c) Effective international competition; (d) The interest of the United Nations.""

In conclusion, ID/OIOS finds that UNEP and UNOPS departed from United Nations rules and regulations as described above. These irregularities seem not to have been carried out in bad faith because the urgency of the situation necessitated that BTF become operational rapidly. However, once operational, both organisations should have taken measures to rectify the problems identified in the allegations.",course investigation id oios learn company receive contract extension contract btf unops competitive bidding violation financial regulation 12 state procurement function include action necessary acquisition purchase lease property include product real property service include work follow general principle shall give consideration exercise procurement function united nations good value money 6 fairness integrity transparency c effective international competition d interest united nations conclusion id oios find unep unops depart united nations rule regulation describe irregularity carry bad faith urgency situation necessitate btf operational rapidly operational organisation take measure rectify problem identify allegation
31.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer I, Airport Engineer 2 and Airport Engineer 3, and later by the Consultant from the Consulting Firm.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed at the Airport Sector, KTA at the same time. Under him were the PEAP Official and the Air Traffic Control Services (ATCS) Official.

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined.""",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 pillar ii supervise department transport infrastructure doti official 1 doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second armed force united nations member state specifically airport engineer airport engineer 2 airport engineer 3 later consultant consulting firm 1 july 2002 responsibility administration airport pass pillar ii kosovo trust agency kta pillar iv divisional manager appoint airport sector kta time peap official air traffic control services atcs official 1 april 2004 pristina international airport time jurisdiction kfor hand civilian jurisdiction icao regulation background change procurement procedure relate follow contract examine
35.pdf,"""Further, in interviews with the ITF, the Airport personnel did not know whether the ICAA was required to follow UNMIK procurement protocols. However, a KTA Internal Audit Department staff member confirmed that no breaches of KTA rules, UNMIK procurement rules, or the above-mentioned agreement could be identified in the purchase of the new policy through the ICAA. The ITF further concludes that UNMIK procurement rules were not applicable to the ICAA as the agreement between UNMIK and the ICAA (for the government of Iceland) is prevailing and does not identify such a requirement.

There is also no evidence of improper collusion or negotiations during the requisitioning process of the insurance policy, nor is no evidence that the process was corrupted.

Finally, the ITF can report that comprehensive policy documents have been provided by the ICAA and the previous insurance policy has been cancelled.""",interview itf airport personnel know icaa require follow unmik procurement protocol kta internal audit department staff member confirm breach kta rule unmik procurement rule abovementione agreement identify purchase new policy icaa itf conclude unmik procurement rule applicable icaa agreement unmik icaa government iceland prevail identify requirement evidence improper collusion negotiation requisition process insurance policy evidence process corrupt finally itf report comprehensive policy document provide icaa previous insurance policy cancel
35.pdf,"Alleged Violations of Procurement Procedures - Insurance (No. 0216104)

In April 2004, the Investigation Task Force (ITF) received information alleging possible violations of UNMIK procurement procedures involving the purchase of insurance cover for the Pristina Airport commencing as of 1 April 2004.

This insurance was obtained by UNMIK with the assistance of the Icelandic Civil Aviation Administration (ICAA). An agreement between UNMIK and the ICAA of 1 April 2004 specified the procedures as follows:

""UNMIK shall, with the assistance of Iceland as described in WPVI-I of ScheduleVI, if requested, obtain and maintain appropriate insurances for the airport, its equipment, facilities, operations, and services from reputable insurers. UNMIK shall, as and when reasonably required by Iceland, provide Iceland with satisfactory evidence of such insurance.

WPV 1-1 reads:

'ICAA will provide assistance in acquiring liability insurance to cover the operation at Pristina Airport. The ICAA will use results from similar activitiesfor acquiring liability insurance for Icelandic Airports (...). Most of the activities will be performed in Iceland (...). '",alleged violation procurement procedures insurance 0216104 april 2004 investigation task force itf receive information allege possible violation unmik procurement procedure involve purchase insurance cover pristina airport commencing 1 april 2004 insurance obtain unmik assistance icelandic civil aviation administration icaa agreement unmik icaa 1 april 2004 specify procedure follow unmik shall assistance iceland describe wpvii schedulevi request obtain maintain appropriate insurance airport equipment facility operation service reputable insurer unmik shall reasonably require iceland provide iceland satisfactory evidence insurance wpv 11 read icaa provide assistance acquire liability insurance cover operation pristina airport icaa use result similar activitiesfor acquire liability insurance icelandic airports activity perform iceland
36.pdf,"Alleged misappropriation of funds – Manager (Case No. 050/04)

The Investigation Task Force (ITF) has been investigating an allegation regarding administrative irregularities regarding the insurance coverage for Pristina Airport by a London-based Company, who then purchased the cover from Insurance Company 1 between 2001 and 2003.

Based on extensive documentation obtained from UNMIK Pillar II, the Kosovo Trust Agency (KTA) and Public Enterprise Airport Pristina (PEAP), the ITF determined that the responsible Manager did not undertake efforts in 2002 or 2003 to invite international tenders for the Airport’s insurance coverage. According to UNMIK regulations 1999/2 – Finance Administration Instruction on Public Procurement using Kosovo Consolidated Funds – and in view of the cost of the premiums of more than $125,000 USD, such a tender should have been undertaken. The Manager did not prepare an international tender for at least the period 2 October 2003 to 1 October 2004, instead, he concluded a contract in favour of Insurance Company 1 effecting insurance coverage pertaining to Pristina International Airport for a further year. It should be considered as to whether this conduct demonstrates probable cause with regard to the waste or misappropriation of public funds. Such an issue should be determined by a review of the matter by the Department of Justice.",alleged misappropriation fund manager case 050 04 investigation task force itf investigate allegation administrative irregularity insurance coverage pristina airport londonbased company purchase cover insurance company 1 2001 2003 base extensive documentation obtain unmik pillar ii kosovo trust agency kta public enterprise airport pristina peap itf determine responsible manager undertake effort 2002 2003 invite international tender airports insurance coverage accord unmik regulation 1999 2 finance administration instruction public procurement kosovo consolidated funds view cost premium 125000 usd tender undertake manager prepare international tender period 2 october 2003 1 october 2004 instead conclude contract favour insurance company 1 effecting insurance coverage pertain pristina international airport year consider conduct demonstrate probable cause regard waste misappropriation public fund issue determine review matter department justice
38.pdf,"""In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process.""",iau memo reference letter complaint date 280604 vendor 1 company compete tender subsequently award single source contract supply summer uniform author letter vendor 1 manager allege existence rumour witness matter bribery procurement officer 1 pristina airport finance officer pristina airport vendor 1 managers competitor tender process vendor 2 vendor 1 managers letter identify intention seek legal action procurement officer 1 allegedly violate procurement rule replace member bid evaluation committee competitive tender allow member finance department finance officer sit committee favour vendor 2 tender process
38.pdf,"""Investigation Details

Procurement Officer 1 managed the competitive tender for the supply of uniforms. In addition to Vendor 1, Vendor 2 and Vendor 3 submitted bids following which Procurement Officer 1 convened and chaired a Bid Opening Committee on 10-06-04. Present, in addition to the committee that comprised members of the various airport work groups, were representatives of the three bidding companies including Vendor 1 Manager.

Procurement Officer 1 also formed and chaired a Bid Evaluation Committee to assess the offerings of the competitors, which comprised a range of uniforms and accessories for the various categories of airport employees. On 18-06-04, the committee, though not satisfied with all Vendor 2’s samples, tentatively decided in favour of that company, the median bidder in terms of price (Vendor 1 was the highest bidder). The committee resolved that Vendor 2 would be approached to determine the feasibility of no-cost design changes to one of the uniforms for women employees. The committee reconvened on 23-06-04 at the request of Pristina Airport Official. During the meeting, Pristina Airport Official announced the cancellation of the tender. Pristina Airport Official later awarded a single-source procurement contract for summer uniforms for newly hired staff, in the amount of €106,059, to Vendor 1, which had supplied uniforms to the airport under two previous contracts.""",investigation details procurement officer 1 manage competitive tender supply uniform addition vendor 1 vendor 2 vendor 3 submit bid follow procurement officer 1 convene chair bid opening committee 100604 present addition committee comprise member airport work group representative bidding company include vendor 1 manager procurement officer 1 form chair bid evaluation committee assess offering competitor comprise range uniform accessory category airport employee 180604 committee satisfied vendor 2s sample tentatively decide favour company median bidder term price vendor 1 high bidder committee resolve vendor 2 approach determine feasibility nocost design change uniform woman employee committee reconvene 230604 request pristina airport official meeting pristina airport official announce cancellation tender pristina airport official later award singlesource procurement contract summer uniform newly hire staff 106059 vendor 1 supply uniform airport previous contract
38.pdf,"""Allegation 2: that Procurement Officer 1 replaced a member of the Bid Evaluation Committee

Procurement Officer 1 explained to the ITF that the original nominee to the committee, Committee member 1, had not been at work on the day that the committee first convened and, therefore, had been replaced by Committee member 2, who then attended the second session for continuity purposes. Committee member 1 and Committee member 2 confirmed Procurement Officer 1’s explanation for the replacement.
Allegation 3: that Procurement Officer 1 inappropriately included the Finance Officer in the Bid Evaluation Committee

The Finance Officer, Procurement Officer 1, and Pristina Airport Official told the ITF that the Finance Officer participated on the Bid Evaluation Committee. However, Procurement Officer 1 and Pristina Airport Official each said that the other had nominated the Finance Officer to the committee.
KTA legal staff advised the ITF that the wisdom of allowing a representative of the Finance Department to participate in bid evaluations is questionable because, generally, officers whose function involves payment should not evaluate contractors to whom payment will become due. According to KTA legal staff, however, such participation is not precluded by any rule or law. Section 23.9.2 of Finance Administration Instruction No. 2/1999 (Revised 15 December 1999) – Public Procurement Using Kosovo Consolidated Budget Funds precludes only an “approving officer” from the Procuring Entity who will eventually sign a contract from serving as a tender evaluator. The Finance Officer was not an “approving officer” in this procurement process and, therefore, was not prevented from serving as an evaluator.""",allegation 2 procurement officer 1 replace member bid evaluation committee procurement officer 1 explain itf original nominee committee committee member 1 work day committee convene replace committee member 2 attend second session continuity purpose committee member 1 committee member 2 confirm procurement officer 1 explanation replacement allegation 3 procurement officer 1 inappropriately include finance officer bid evaluation committee finance officer procurement officer 1 pristina airport official tell itf finance officer participate bid evaluation committee procurement officer 1 pristina airport official say nominate finance officer committee kta legal staff advise itf wisdom allow representative finance department participate bid evaluation questionable generally officer function involve payment evaluate contractor payment accord kta legal staff participation preclude rule law section 2392 finance administration instruction 2 1999 revise 15 december 1999 public procurement kosovo consolidated budget funds preclude approve officer procuring entity eventually sign contract serve tender evaluator finance officer approve officer procurement process prevent serve evaluator
38.pdf,"""When asked by the ITF to substantiate his/her allegation that Procurement Officer 1 and the Finance Officer had accepted bribes from Vendor 2, Vendor 1 Manager said that he/she had heard the rumours in Pristina coffee bars but that he/she could not remember from whom he/she had heard these rumours. He/she said that the witnesses to whom he/she had referred in his letter of complaint were actually the same persons from whom he/she heard the rumours. Vendor 1 Manager was unable to suggest which representative of Vendor 2 had paid the bribes.

Vendor 2 Employee who attended the meeting of the Bid Opening Committee; Vendor 2 Manager; and Vendor 2 Director all told ITF that they had not paid bribes to Procurement Officer 1 and/or the Finance Officer.

Procurement Officer 1 and the Finance Officer both denied accepting bribes or any other consideration from any person in this matter.""",ask itf substantiate allegation procurement officer 1 finance officer accept bribe vendor 2 vendor 1 manager say hear rumour pristina coffee bar remember hear rumour say witness refer letter complaint actually person hear rumour vendor 1 manager unable suggest representative vendor 2 pay bribe vendor 2 employee attend meeting bid opening committee vendor 2 manager vendor 2 director tell itf pay bribe procurement officer 1 finance officer procurement officer 1 finance officer deny accept bribe consideration person matter
39.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by the Consultant from the Consulting Firm.""",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 pillar ii supervise department transport infrastructure doti official 1 doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second armed force united nations member state specifically airport engineer 1 airport engineer 2 airport engineer 3 later consultant consulting firm
4.pdf,"""The evaluation report also concluded that the company Vendor 1 has one manufacturer in Peja, which can’t offer the required quality and had too long a date for completion.

In the case of Vendor 2, the evaluation report states that the company provided an incomplete offer.

When asked in what manner the offer was incomplete in interview, the Procurement Officer, a member of the Evaluation Committee, stated that Vendor 2 submitted an offer, which did not contain all the required articles.

The Procurement Officer was asked why his/her explanation was not put in the tender evaluation. He/she replied that it was due to his/her lack of English. In view of the fact that the evaluation committee all signed the evaluation report, they would have been aware of the reason for Vendor 2’s rejection.""",evaluation report conclude company vendor 1 manufacturer peja not offer require quality long date completion case vendor 2 evaluation report state company provide incomplete offer ask manner offer incomplete interview procurement officer member evaluation committee state vendor 2 submit offer contain require article procurement officer ask explanation tender evaluation reply lack english view fact evaluation committee sign evaluation report aware reason vendor 2s rejection
4.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2 Department of Transport and Infrastructure (DOTI) Official 1 was also involved in the matter. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from one UN member state’s Army, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a Consultant from the Consulting Company.""",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 department transport infrastructure doti official 1 involve matter doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second un member state army specifically airport engineer 1 airport engineer 2 airport engineer 3 later consultant consulting company
4.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2 Department of Transport and Infrastructure (DOTI) Official 1 was also involved in the matter. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from one UN member state’s Army, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a Consultant from the Consulting Company.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed. Under him/her were the PEAP Official and Official 3.

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined.",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 department transport infrastructure doti official 1 involve matter doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second un member state army specifically airport engineer 1 airport engineer 2 airport engineer 3 later consultant consulting company 1 july 2002 responsibility administration airport pass pillar ii kosovo trust agency kta pillar iv divisional manager appoint peap official official 3 1 april 2004 pristina international airport time jurisdiction kfor hand civilian jurisdiction icao regulation background change procurement procedure relate follow contract examine
4.pdf,"""Allegation 7

(It is alleged that two further small quantities of uniforms in the sums of €792 and €1,188 were purchased without any supporting documents or justification)

Two invoices dated 4 July 2003 and 5 August 2003 indicate that two quantities of 99 and 66 T-Shirts respectively were ordered with a value of €1188 and €792 respectively.

When asked about these extra purchases, the PEAP Official stated that he/she assumed the Airport hired some students and temporary staff for three months and that the T-Shirts were for them to wear. The PEAP Official subsequently produced two written requests from the Security Official, for the two orders dated 1 July 2003 and 1 August 2003.""",allegation 7 allege small quantity uniform sum 792 1188 purchase support document justification invoice date 4 july 2003 5 august 2003 indicate quantity 99 66 tshirt respectively order value 1188 792 respectively ask extra purchase peap official state assume airport hire student temporary staff month tshirts wear peap official subsequently produce write request security official order date 1 july 2003 1 august 2003
4.pdf,"""When asked why two orders were placed within one month of one another, rather than together, the PEAP Official stated that the airport had run out of T-shirts and therefore purchased them from the same company in order to have the same design of T-shirt.

This explanation is not a credible one, since it suggests that the Airport did not have any idea as to the numbers of temporary staff being taken on over a period of only three months. If this was the case, it indicates poor management.

An alternative could be that two orders were placed to avoid having to organise a competitive bidding procedure, since the limit for single source procurements at that time was €1250.""",ask order place month peap official state airport run tshirt purchase company order design tshirt explanation credible suggest airport idea number temporary staff take period month case indicate poor management alternative order place avoid have organise competitive bidding procedure limit single source procurement time 1250
4.pdf,"""In addition, the two requests specify that the shirts should be the same as the previous shirts of the existing workers. This requirement suggests that Vendor 3, who had just won a tender for the provision of summer uniforms to Pristina Airport in April 2003, had already been chosen as the supplier.

The Security Official stated that he/she had been asked to write a request for uniforms by the Divisional Manager following a conversation between them on the need for uniforms for the student workers. When asked why he/she had addressed the two requests to the PEAP Official rather than the Divisional Manager, he/she replied that this was because the PEAP Official was his/her superior. However, neither of the requests mentions that the Security Official has spoken to the Divisional Manager.""",addition request specify shirt previous shirt exist worker requirement suggest vendor 3 win tender provision summer uniform pristina airport april 2003 choose supplier security official state ask write request uniform divisional manager follow conversation need uniform student worker ask address request peap official divisional manager reply peap official superior request mention security official speak divisional manager
4.pdf,"""METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by conducting interviews with all relevant persons; obtaining documents from the Pristina Airport administration and from the Pillar IV administration, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hangar, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999, UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.""",methodology investigation conduct pursuant executive decision 2003 16 establishment investigation task force itf investigator conduct enquiry allegation raise conduct interview relevant person obtain document pristina airport administration pillar iv administration analyse relevance inquiry hand background information pristina international airport constitute state own enterprise yugoslavian law asset airport include runway terminal building hangar fuel storage facility equipment period cover investigation 2001 2003 maintain public enterprise airport pristina peap cooperation military units kosovo force kfor pursuant united nations security council resolution 1244 date 10 june 1999 unmik regulation 1 1999 date 25 july 1999 unmik mandate administer territory kosovo include state own publicly own asset include pristina international airport
4.pdf,"""A bid evaluation report dated 6 December 2002 indicates that 8 firms were issued with documents and 4 bids were submitted. The bids were opened on 27 November 2002. The report indicates at page 3 that Vendor 3’s offer in the sum of €157,060 was almost twice as much as the other two bids from Vendor 1 (€80,198) and Vendor 2 (€86,850), which were rejected.

The reason specified for rejection of the bid by Vendor 1 on page four of the evaluation was that the evaluation committee asked the company to produce a specimen of each type of uniform and it failed to do so. This is confirmed in a letter to Vendor 1 dated 27 November 2002. A similar letter was delivered to Vendor 3.""",bid evaluation report date 6 december 2002 indicate 8 firm issue document 4 bid submit bid open 27 november 2002 report indicate page 3 vendor 3s offer sum 157060 twice bid vendor 1 80198 vendor 2 86850 reject reason specify rejection bid vendor 1 page evaluation evaluation committee ask company produce speciman type uniform fail confirm letter vendor 1 date 27 november 2002 similar letter deliver vendor 3
43.pdf,"""III. METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

IV. BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999. UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.""",iii methodology investigation conduct pursuant executive decision 2003 16 establishment investigation task force itf investigator conduct enquiry allegation raise interview person indicate witness person potentially implicate allegation obtain document pristina airport administration pillar iv analyse relevance inquiry hand iv background information pristina international airport constitute state own enterprise yugoslavian law asset airport include runway terminal building hang fuel storage facility equipment period cover investigation 2001 2003 maintain public enterprise airport pristina peap cooperation military units kosovo force kfor pursuant united nations security council resolution 1244 date 10 june 1999 unmik regulation 1 1999 date 25 july 1999 unmik mandate administer territory kosovo include state own publicly own asset include pristina international airport
44.pdf,"""Conclusions

Although PEAP Official as the responsible official at that time denied that he/she had requested Vendor 2 Representative support for the FIDS supply and cabling procurements, Vendor 2 Representative granted the ITF that he/she acted on PEAP Official’s request.

Nevertheless, PEAP official bears the overall responsibility for his/her department (PEAP), and this investigation proved again that he/she did not fully meet the requirements as manager in a sensitive area like the Airport.

The entire matter has to be seen as an administrative irregularity. It is obvious that international procurement rules had been breached but the Procurement Regulation that was in force at that
time - Financial Agreement 1999/2 - does not indicate cases like described before.

Furthermore, to prove a possible case of corruption, there are not enough indications.""",conclusion peap official responsible official time deny request vendor 2 representative support fids supply cable procurement vendor 2 representative grant itf act peap official request peap official bear overall responsibility department peap investigation prove fully meet requirement manager sensitive area like airport entire matter see administrative irregularity obvious international procurement rule breach procurement regulation force time financial agreement 1999 2 indicate case like describe furthermore prove possible case corruption indication
44.pdf,"Allegation

An official of a non-Airport related company, supported the procurement process for the supply of the Flat Information Display System (FIDS) by writing the recommendation and justification for a Single source procurement and also defined the technical specifications. As Vendor 1 was only able to supply but not to cable the FIDS, another tender had to be launched for the FIDS cabling. Winner of this tender was Vendor 2.

Background Information

The Single Source Procurement (Purchase and supply of FIDS) started on 17 October 2002 with a written recommendation and justification by Vendor 2 Representative. The purchase of additional FIDS became necessary because of the expansion of the Passenger Terminal Building. The already existing system had been provided by Vendor 1, therefore the Airport Management decided to choose Vendor 1 again.

The Capital Expenditure Approval and contract were signed on 13 December 2002. The procurement file does not show why Vendor 1 only delivered the FIDS but did not cable it. The need for cabling the FIDS resulted in another tender that commenced in March 2004. According to the procurement file it appeared that Vendor 2 won the Competitive Shopping tender with an amount of 15.919 Euro.",allegation official nonairport relate company support procurement process supply flat information display system fids write recommendation justification single source procurement define technical specification vendor 1 able supply cable fids tender launch fids cable winner tender vendor 2 background information single source procurement purchase supply fids start 17 october 2002 write recommendation justification vendor 2 representative purchase additional fids necessary expansion passenger terminal building exist system provide vendor 1 airport management decide choose vendor 1 capital expenditure approval contract sign 13 december 2002 procurement file vendor 1 deliver fids cable need cable fids result tender commence march 2004 accord procurement file appear vendor 2 win competitive shopping tender 15919 euro
44.pdf,"""Investigative details

The Airport Engineer was interviewed on 11 October 2004, as he/she is the responsible person to suggest new projects to the Airport Management. The Airport Engineer stated that he/she was at no time involved in the FIDS purchase and did not request the support by Vendor 2 Representative with regard to recommend and justify the FIDS supply. The Airport Engineer only recommended the cabling of the FIDS in a note to the Airport Management; all following procedures are under the responsibility of the procurement unit and the management.

The Sales Manager of Vendor 1 was interviewed on the phone on 30 August 2004. Asked why Vendor 1 did not provide with the cabling of the FIDS he/she stated that Vendor 1’s management did not allow traveling to Kosovo at that time for security reasons. The Sales Manager of Vendor 1 also mentioned that the Airport's contact person with regard to the FIDS cabling was for him/her Vendor 2 Representative.""",investigative detail airport engineer interview 11 october 2004 responsible person suggest new project airport management airport engineer state time involve fids purchase request support vendor 2 representative regard recommend justify fids supply airport engineer recommend cabling fids note airport management follow procedure responsibility procurement unit management sales manager vendor 1 interview phone 30 august 2004 ask vendor 1 provide cabling fids state vendor 1s management allow travel kosovo time security reason sales manager vendor 1 mention airports contact person regard fids cabling vendor 2 representative
45.pdf,"""Pristina Airport – Alleged administrative irregularity regarding an X-RAY Tender

Allegation

On the 29th May 2003, the Divisional Manager, Kosovo Trust Agency (KTA) [UNMIK EU- Pillar IV], approved and signed a contract between Pristina Airport and the Vendor before the Capital Expenditure was formally approved by KTA.

Background Information

On 7 March 2003, Pristina Airport launched an international tender to supply X-ray equipment. On 4 April 2003, the Evaluation Committee awarded the contract to the Vendor, who had not submitted the lowest tender, but, was the only company that met the rigorous technical specifications. The Vendor is acknowledged as a world-class company specializing in such equipment.

The contract between Pristina Airport and the Vendor was concluded on 10 April 2003. It is not clear when the Vendor signed this document. The KTA Internal Auditor 1 expressed concerns over the conclusion of the contract, which resulted in the Divisional Manager signing on behalf of the Procuring Entity on 29 May 2003. KTA Official 1 also signed the contract, but did not record the date against his/her name.

The Capital Expenditure Approval, dated 19 June 2003, was signed by KTA Official 2, on 20 June 2003.""",pristina airport allege administrative irregularity xray tender allegation 29th 2003 divisional manager kosovo trust agency kta unmik eu pillar iv approve sign contract pristina airport vendor capital expenditure formally approve kta background information 7 march 2003 pristina airport launch international tender supply xray equipment 4 april 2003 evaluation committee award contract vendor submit low tender company meet rigorous technical specification vendor acknowledge worldclass company specialize equipment contract pristina airport vendor conclude 10 april 2003 clear vendor sign document kta internal auditor 1 express concern conclusion contract result divisional manager signing behalf procuring entity 29 2003 kta official 1 sign contract record date capital expenditure approval date 19 june 2003 sign kta official 2 20 june 2003
